,电影,类型,导演,主演
150,红楼梦,情色/同性,吴星翔,纪言恺/陈彦名/吕金象/陈彦廷/林冠宇/利晴天/蔡力允/刘雨凯/荣忠豪/唐緰/陈信力/谢理任/蔡明修/高盟杰/陈睿纁/柳广辉/张嘉方/宋亚伦/刘明动/王岳丰/安伟/鲍奕安/江盛祺
151,不期而遇,喜剧/爱情,陈卓,张雨绮/张亮/王少雍/冷中易
152,再见路星河,剧情/爱情/音乐,袁菲,王栎鑫/张鑫/李澈/左立/谭松韵/余芷慧/丁溪鹤
153,阿凡提之奇缘历险,喜剧/动画,刘炜,胡谦/李晔/蒋可/李扬/游军/王衡/王燕华/周南飞/瞿巍/严丽祯/黄晨
154,狐妖小红娘剧场版：千颜,剧情/爱情/奇幻,王昕,乔诗语/杨天翔/刘校妤
155,郊区的鸟,剧情,仇晟,黄璐/李淳/龚子涵
156,花悸,爱情/科幻/惊悚,黄璜,谢治勋/王歆霆/张杨智子
157,狄仁杰之幽冥道,剧情/动作/悬疑/古装,黄河,杨恭如/罗立群/何文辉/李若希/黄一飞
158,我是好人,喜剧/犯罪,邢键钧,贾景晖/刘南/杨壹童/邢瀚卿/王冠淇/李沐泽
159,留夏,剧情/儿童,张海峰,张翰祥/张子乐
160,大耳朵图图之美食狂想曲,喜剧/动画/冒险,速达,潘延/范楚绒/胡谦/王衡/李晔/王肖兵/吴磊/蒋可/李心仪/蒋孙丞薇/游军/周南飞/王晓彤/严丽祯/曹可凡/金炜
161,小狗奶瓶,家庭/儿童,彭力,奶瓶/康潇诺/高婷婷/陈一榕/魏子涵/亓小飞
162,李保国,剧情/传记,赵琦,林永健/颜丹晨/尤勇/侯天来/吴军/高明/何政军/舒耀瑄/刘芳/李林蔚/戚云鹏/任铭松/李晓强/王匡/孙思翰/施大生/巍子/许文广/范俊良/周正启/晁振轩
163,恐龙王,喜剧/动画/冒险,施雅雅,吕佩玉/王衡/孙晔/穆雪婷/徐思琦/吕梦瑶/李郝瑞/王博/李正翔/苏鑫/许棕哲/拜跃
164,大汉十三将之血战疏勒城,历史,回宇,谢苗/陈梦希/热依娜/李帛轩/容尔甲/苑航铭/叶品峰/谢恺宇/徐子奇/龙杨杨
165,喵星人,喜剧/儿童/奇幻,陈木胜,古天乐/马丽/刘楚恬/黄星羱/阮兆祥/卫诗雅/蔡一智/蔡一杰
166,狂徒,剧情,洪子烜,吴慷仁/林哲熹/李千那/谢欣颖/李洺中/高捷/施名帅
167,羞答答的铁男,喜剧,至尊玉/王泽丰,柯达/郭诗佳/意辰/毛溪/毕雪/刘禹欣/海扬/张本煜/于白水/赵灵/苗月研/孙国帅/至尊玉/曹慕渊/潘红岑
168,蓝天白云,剧情,张经纬,邓丽欣/梁雍婷/李任燊/宝佩如
169,破梦游戏,动作/冒险,韩琰,陈都灵/宋威龙/张宥浩/盖玥希/曹曦文/高圣远/金世佳/吕绍聪/佟大为/苏芒/彭冠英
170,怪兽,科幻/悬疑,戴金垸,杨苏/郑铭/韩彦博/卢野/陈三木/肖龙
171,美食大冒险之英雄烩,动作/动画/冒险,孙海鹏,杨光普照/孟宇/张喆/郭政建
172,星溪的三次奇遇,剧情/奇幻/冒险,竹原青,许芳铱/帕斯卡尔·格雷戈里/黄若熙
173,那一场呼啸而过的青春,剧情/爱情,韩天,卜冠今/刘畅/李梦/黄觉/曲哲明/李正彦琦
174,四大名捕之入梦妖灵,动作/悬疑/武侠,项秋良/项河生,陈子由/刘林城/康宁
175,中国推销员,剧情/动作/战争,檀冰,李东学/安妮克·阿斯克渥德/迈克·泰森/李艾/史蒂文·席格/王自健/克罗维斯·弗昂/艾瑞克·艾伯纳尼
176,狄仁杰之蚩尤血藤,动作/悬疑/古装,蓝志伟,杜奕衡/文卓/花钰杰/舒杨
177,兄弟班,剧情/喜剧,陈友,陈家乐/于湉/王梓轩/吴鹤谦/林耀声/邓加乐/任达华/金燕玲/惠英红/廖启智/谭咏麟/钟镇涛/钱小豪/陈友/彭健新/叶智强
178,笔仙大战贞子2,惊悚/恐怖,黄河,奚美丽/云翔/朱娅/王宇凝/林奕婧
179,很高兴遇见·你,爱情,李杰,凌正辉/庞璐佳/林路迪/张逗逗
180,旺扎的雨靴,剧情/儿童,拉华加,周拉多杰
181,金城档案,剧情,高力强,范志博/温升豪/何麟/郭凯敏
182,幸福城市,剧情/科幻/犯罪,何蔚庭,李鸿其/黄璐/丁宁/张国柱/谢章颖/石锦航/路易丝·格林贝格/尹馨/高捷
183,四大名捕之食人梦界,动作/奇幻/武侠,项秋良/项河生,陈子由/刘林城/康宁
184,只有大海知道,剧情/歌舞/家庭/儿童,崔永徽​​,黄尚禾/钟家骏/李凤英/張靈
185,德云社丁酉年封箱庆典2018,,,郭德纲/于谦/高峰/岳云鹏/孙越/张云雷/阎鹤祥/郭麒麟/张鹤伦/朱云峰/孟鹤堂/栾云平/李云天/王昊悦/王少立/朱鹤松/陶云圣/李云杰/冯照洋/曹鹤阳
186,天才J之致命推理,,曾庆杰,陈思宇/王子清/小夕
187,天才J之第二个J,,曾庆杰,陈思宇/王子清/小夕
188,求求你爱上我,剧情/喜剧/爱情,董春泽,姜涛/钱冬旎/骏声/智泓/傅亨/尚茜/高嘉隆
189,切小金家的旅馆,喜剧/恐怖,林冠慧,张庭瑚/洪言翔/林鹤轩/郭书瑶/罗家英/朱咪咪
190,兴风作浪,喜剧/爱情,李春啸,宋晓峰/关婷娜/蒋依杉/王小虎/王洪祥/宋小宝/文松
191,杀瓜,剧情,高则豪,董勇/刘桦/胡明/李煜/曹曦文
192,特别追踪,犯罪,王启蘅,周浩东/牛宝军/李宜儒/于心妍
193,空手道,剧情/运动,杜汶泽,邓丽欣/杜汶泽/仓田保昭/欧锦棠/陈静/柳俊江/卢觅雪/周志辉/司徒慧焯/陈淑庄/向柏荣/姜伟忠/梁柏坚/杨柳青/何慈茵/曾淑雅/蔡嘉燕/陈钰芸/刘皓岚/简志德/沙马信
194,的士诡谈,喜剧/悬疑/恐怖,韩彦博/裴魁山/刘淌/赵强,卢野/陈玺旭/周觅/裴魁山/严坤
195,最后的日出,科幻,任文,张珏/张苒
196,你不是一个人,爱情/奇幻,钟青,石承镐/何紫妍/南苗
197,伪婚男女,剧情/同性,周美玲,唐振刚/周厚安/李京恬/程茉/王琄
198,阿莉芙,剧情/同性,王育麟,舞炯恩·加以法利得/赵逸岚/吴朋奉/陈竹昇/郑人硕/胡德夫
199,滚动的钢蛋,喜剧,李春啸,李春啸/陈旭/李易祥/韩三明/李兰/陈勇/贾乐善/江辉/张郎/何达/王江华/徐本一/许婉/李丹翼/陈政阳/谢潇潇/大春/刘美瞳/贾冰冰/张培方/李潇/宋培/阿龙/董博文/马丁/蔡立志/董建忠
200,大乐师．为爱配乐,剧情/爱情/音乐,冯志强,郑中基/颜卓灵/周秀娜/姜皓文/白只/蔡洁/符龙飞/卢惠光/卢海鹏/何华超/周祉君/蒙为亮/艾威/徐佳琦/陈炳铨/廖殷曼/马溱禧/关嘉敏/冯志强
201,未来机器城,科幻/动画/冒险,安恪温/龙子乔,韩莹棣/郑海音/冯远征/石班瑜/涂松岩/杨婷/查琳·易/约翰·卡拉辛斯基/杰森·苏戴奇斯/大卫·克罗斯/迈克尔·佩纳/吴恬敏/杰特·尤尔根斯米尔/安娜·阿卡娜
202,海带,喜剧/科幻,阚若涵,邓飞/刘飏
203,吻隐者,剧情/爱情,李燕宁,谭卓/李至正/孙亦沐
204,胡杨的夏天,喜剧/爱情,朱时茂,朱一龙/姜瑞佳/张文婷/马也/徐光宇/杨大鹏/范晋嘉/王思懿/祝延平/陈佩斯/海哈金喜/潘长江/刘亚津
205,逆向诱拐,剧情/悬疑,黄浩然,苏丽珊/吴肇轩/邵仲衡/朱鉴然/梁晓丰/陈曾宁/泰臣/蒋祖曼/楊秉基/岑珈其/黄修平/王敏德/葛民辉/曾翠珊/赖恩慈/张雪芹/曾江/陈豪/邵音音/何故/黄竣锋/梁雍婷/吴良荣/袁文杰/周群达/覃恩美/古天祥/许博文
206,有五个姐姐的我就注定要单身了啊！！,喜剧/爱情,苏文圣,蔡凡熙/项婕如/谢金燕/刘奕儿/张墨锡/高隽雅/张垚/朱轩洋/张立昂
207,同名男子,剧情/悬疑/犯罪,何力,唐以诺/姚星竹/杨金赐/张春
208,小情书,剧情/爱情,乔梁,赵顺然/朱颜曼滋/姜瑞佳/高子沣/杨青/赵健雷/任帅/刘丹/姜宏波/韩昊轩/马祥睿/邓震/伍宇辰柠/赵珍妮/张鑫凯
209,那年八岁,剧情/儿童,杨瑾,罗京民/杜俊豪/邱林/吕亚萍/焦妮
210,小戏骨：放开那三国,剧情/儿童/历史/古装,潘礼平/邹江/尹俊欢,陶奕希/李俊豪/葛奕德/赵晨翔/陈荣达/罗自豪/陶冰蓝/周冉/黎哲彬/祁晟原/段智文/周柯伊/赵士添
211,吃货宇宙,喜剧/科幻/动画,陈廖宇,张鹤来/张栩儿/刘思童/吴旭/孙博/陈子平/崔志刚/廖伟/郭笑/孙照博/将小北/胖妞
212,缉枪,剧情/动作/犯罪,徐兵,白举纲/热依扎/连奕名/任东霖/童苡萱/王堃/洪剑涛/王泷正/陈启杰/戚云鹏/苗青/吴冕/娟子/崔月/巴多/斌子/侯传杲/白红标/洪京京/黎真成/李明/黄馨瑶/葛英含/孙亚来/韩楠/石典典/程婉竹/焦尤成/赵炳锐/汤程
213,美丽,剧情,周洲,池韵
214,寻找罗麦,剧情/爱情,王超,韩庚/杰瑞米·埃尔卡伊姆/菅纫姿/阿丽斯·德·朗克桑/海伦·文森特/雷诺·科恩/胡瑞杰/安迪·吉雷/邓紫衣/罗阜艺/朱宏奇
215,哀乐女子天团,剧情/音乐,桑木天/刘博文,杨小兰/刘頔/尹菲/叶禹含/陈洁怡/谭志玲/秦勇
216,天生不对,喜剧/爱情,谷德昭,周渝民/薛凯琪/郑中基/恬妞/高捷/盛朗熙
217,故事贩卖机,喜剧/爱情/悬疑/奇幻,朱佳梦/陈静/王晋/丁小雄,曹云金/赵达/邵芸/马元/卢思宇/赵雪/巴多/郑渊洁/童苡萱/谢园/陈朵怡/庄则熙
218,夏天19岁的肖像,爱情/悬疑,张荣吉,黄子韬/杨采钰/杜天皓/李梦/张国柱/柯淑勤/朱芷莹/冯淬帆
219,烽火芳菲,剧情/爱情/战争,比利·奥古斯特,刘亦菲/埃米尔·赫斯基/李芳淙/严屹宽/余少群/文森特·里奥特/博隆/罗嘉良/巩汉林/金珠/巩天阔/舒耀瑄
220,常在你左右,悬疑/犯罪,邱礼涛,古天乐/张智霖/林家栋/蔡卓妍/佘诗曼/林雪/苑琼丹/雨侨
221,战斗民族养成记,喜剧/爱情,阿卡季·萨赫拉什维利/夏昊,董畅/伊丽莎维塔·科诺诺娃/维塔利·哈耶夫/格兰特·吐火添/谢尔盖·奇尔科夫/娜塔莉亚·苏尔科娃/瓦季姆·斯米尔诺夫/德米特里·斯米尔诺夫/维拉·古里耶娃
222,狂兽,剧情/动作/犯罪,李子俊,张晋/余文乐/文咏珊/吴樾/林家栋/太保/苏丽珊/曾国祥/灰熊/郑紫平/仓田保昭
223,黄金花,剧情,陈大利,毛舜筠/凌文龙/吕良伟/刘美君/冼色丽/余安安/谈善言/郑欣宜/江欣燕/林建明/林兆霞
224,道高一丈,剧情/悬疑/犯罪,姜凯阳,聂远/谭凯/徐露/于明加/曲高位/张陆/程煜/宋春丽/刘小宁/石兆琪/董博睿/彭凌/刘泳希/王志刚/史光辉/袁满
225,我说的都是真的,喜剧/动作/悬疑,刘仪伟,小沈阳/陈意涵/吴樾/连凯/罗海琼/李易祥/朱云峰/刘仪伟
226,村戏,剧情,郑大圣,李志兵/梁春柱/王春明/吕爱华/张慧娟/张亚豪/陈晨
227,低压槽：欲望之城,剧情/动作/悬疑/犯罪,张家辉,张家辉/徐静蕾/何炅/余男/苗侨伟/元华/林雪/张可颐
228,角头2：王者再起,剧情/动作/犯罪,颜正国,王识贤/高捷/郑人硕/邹兆龙/唐振刚/黄尚禾/张再兴/吴震亚/黄腾浩/狄莺/曾珮瑜/李依瑾/许维恩
229,我是你妈,剧情/喜剧,张骁,闫妮/邹元清/吴若甫/吴大维/耿乐/张恒/曾江/廖学秋/那威/吴樾/曹思达/李政阳
230,三夫,剧情,陈果,曾美慧孜/陈湛文/陈万雷/麦强/邓月平
231,米花之味,剧情,鹏飞,英泽/叶不勒/叶门/叶拼/林晓初/茶艾南
232,小猪佩奇过大年,动画/歌舞/家庭/儿童,张大鹏/内维尔·阿斯特利/马克·贝克/尤里斯·范·侯辛/莎拉·罗珀,朱亚文/刘芸/归亚蕾/方青卓/李大光/常蓝天/王圣迪/单禹豪/陈奕雯/张安琪/符冲/范楚绒/姜玉玲/周一菡/孙晔/贾邱
233,父子雄兵,喜剧,袁卫东,大鹏/范伟/张天爱/乔杉/邬君梅/任达华/梁龙/马书良/柳岩
234,七十七天,剧情/冒险,赵汉唐,江一燕/赵汉唐
235,妈妈咪鸭,喜剧/动画/家庭/冒险,赵锐/克里斯托弗·詹金斯,赵路/武皓栋/殷筱瑜/金蝉妃/童自荣/吴磊/赵乾景/李传缨/姜玉玲/曹真/王肖兵
236,在乎你,爱情,毕国智,俞飞鸿/大泽隆夫/木下彩音/卢洋洋/前田公辉/星由里子
237,忠爱无言,剧情,谈宜之,高强/于月仙/李玉峰/二货/储毅/王玉宁
238,21克拉,喜剧/爱情,何念,郭京飞/迪丽热巴/大鹏/包贝尔/刘芮麟/王厂长/张钟仪/榕榕/张杨智子
239,破·局,动作/犯罪,连奕琦,郭富城/王千源/刘涛/余皑磊/冯嘉怡/郑凯
240,大师兄,喜剧/动作,阚家伟,甄子丹/陈乔恩/喻亢/骆明劼/汤君慈/汤君耀/李靖筠/刘朝健/林秋楠/云千千/林嘉华/张坚庭/骆应钧/李枫/欧阳伟豪/楼南光/张文杰
241,侠盗联盟,动作/冒险,冯德伦,刘德华/舒淇/张静初/杨祐宁/让·雷诺/曾志伟/沙溢/游天翼/张益群
242,翠丝,剧情/同性,李骏硕,姜皓文/惠英红/黄河/袁富华/余香凝/吴肇轩/周祉君/陈蕾/葛民辉/岑珈其/梁舜燕/顾定轩/黄溢濠/李昭南/陈志全
243,妖铃铃,喜剧/恐怖,吴君如,吴君如/沈腾/岳云鹏/张译/Papi酱/吴镇宇/方中信/焦俊艳/潘斌龙/阿如那/许君聪/李亦航/周冬雨/马思纯/李尚正
244,天气预爆,喜剧/奇幻,肖央,肖央/杜鹃/常远/小沈阳/岳云鹏/王小利/衣云鹤/蔡明
245,明月几时有,剧情/历史/战争,许鞍华,周迅/彭于晏/霍建华/叶德娴/郭涛/春夏/黄志忠/蒋雯丽/梁家辉/王菀之/吕良伟/鲍起静/李灿森/梁文道/张兆辉/冯淬帆/苑琼丹/唐宁/卢巧音/许鞍华/永濑正敏/森田凉花/廖骏雄/何华超/蔡瀚亿/欧锦棠/熊欣欣/吴岱融
246,心理罪,动作/悬疑/犯罪,谢东燊,廖凡/李易峰/万茜/李纯/张国柱/谢君豪/封佳奇/蔡鹭/虞朗/范湉湉/易扬
247,一吻定情,喜剧/爱情,陈玉珊,王大陆/林允/陈柏融/蔡思韵/邰智源/李铭顺/钟丽缇/郭书瑶
248,相爱相亲,剧情/爱情/家庭,张艾嘉,张艾嘉/田壮壮/郎月婷/宋宁峰/吴彦姝/耿乐/谭维维/刘若英/王志文/李雪健/马嘉祺/张艺瀚
249,阳台上,剧情,张猛,周冬雨/王锵/曹瑞
250,嘉年华,剧情,文晏,文淇/周美君/史可/耿乐/刘威葳/彭静/王栎鑫/李梦男/蒋欣悦/陈竹昇
251,大护法,喜剧/动画/奇幻/冒险,不思凡,小连杀/图特哈蒙/金士杰/幽舞越山/李佳怡/李兰陵/郭盛/叶知秋/佟心竹/邢凯新/藤新/郝祥海
252,大象席地而坐,剧情,胡波,彭昱畅/章宇/王玉雯/李从喜/董向荣/王柠/赵燕国彰/朱颜曼滋/凌正辉/王超北/王雪洋
253,反贪风暴3,剧情/动作/犯罪,林德禄,古天乐/张智霖/郑嘉颖/邓丽欣/栢天男/谢天华/张继聪/夏嫣/蔡瀚亿/廖启智/谭耀文/卢海鹏/罗兰/麦长青/张松枝/陈庭欣/丁海峰/冯雷/李昕岳
254,追龙,动作/犯罪,王晶/关智耀,甄子丹/刘德华/姜皓文/郑则仕/刘浩龙/汤镇业/喻亢/胡然/徐冬冬/黄日华/陈惠敏/周励淇/吴毅将
255,大佛普拉斯,剧情/喜剧/犯罪,黄信尧,庄益增/陈竹昇/戴立忍/张少怀/陈以文/纳豆/丁国琳/李永丰/朱约信/雷婕熙/林美秀/小亮哥/游安顺/梁赫群/脱线/郑宇彤/鲁文学
256,血观音,剧情,杨雅喆,惠英红/吴可熙/文淇/柯佳嬿/陈莎莉/丁强/刘尚谦/林志儒/王月/温贞菱/王伟六/陈珮骐/尹昭德/大久保麻梨子/巫书维/颜毓麟/刘越逖/傅子纯/陈武康/施名帅/秀兰玛雅/应蔚民/李铨
257,谁先爱上他的,剧情/喜剧/同性,徐誉庭/许智彦,邱泽/谢盈萱/陈如山/黄圣球/周洺甫/梁正群/杨丽音/安哲/高隽雅/吴定谦/禾语辰/钟欣凌/万芳/高爱伦
258,“大”人物,动作/犯罪,五百,王千源/包贝尔/王迅/王砚辉/屈菁菁/周游/韩烨洲/盖玥希/刘敏涛/梅婷/潘粤明/乔振宇/景岗山/杜源/高捷/寇占文/刘天佐/马浴柯/霍青/邢瀚卿/李蓓蕾/万沛鑫/张皓然/谢孟伟/姜寒/肖涵/吕晓霖/马京京/黎宇航/成方旭/王子清/王昱涵/王昱淇/郭紫铭/要武/滕根/张奥
259,李茶的姑妈,喜剧,吴昱翰,黄才伦/艾伦/宋阳/卢靖姗/沈腾/韩彦博/陈冰/张镨冉/王宇/赵雪/常远/王成思/张琛/魏玮/陶亮/朱微玮/芦莹/李海银/何子君/高海宝/刘坤/钱晨光/乌日塔/杨洁/向斐/何孟卓/王野苓/喜子/张琳
260,江湖儿女,爱情/犯罪,贾樟柯,赵涛/廖凡/徐峥/梁嘉艳/刁亦男/张一白/丁嘉丽/张译/董子健/李宣/查娜/冯家妹/康亢/张晓军/柳敏/王谭/原文倩
261,快把我哥带走,喜剧/奇幻,郑芬芬,张子枫/彭昱畅/赵今麦/孙泽源/周翊然/刘冠毅/姜宏波/徐光宇
262,妖猫传,剧情/悬疑/奇幻/古装,陈凯歌,黄轩/染谷将太/张雨绮/秦昊/张榕容/刘昊然/欧豪/张鲁一/阿部宽/田雨/刘佩琦/辛柏青/成泰燊/李淳/秦怡/松坂庆子/张天爱/周中和/火野正平/夏楠/陈旭/王迪/宋运成
263,羞羞的铁拳,喜剧/奇幻,宋阳/张吃鱼,艾伦/马丽/沈腾/田雨/宋阳/薛皓文/常远/黄才伦/王智
264,暴裂无声,剧情/悬疑/犯罪,忻钰坤,宋洋/姜武/袁文康/谭卓/王梓尘/安琥/伊天锴
265,超时空同居,喜剧/爱情/奇幻,苏伦,雷佳音/佟丽娅/张衣/于和伟/王正佳/陶虹/李念/李光洁/杨玏/范明/徐峥/杨迪/方龄/陈昊
266,强尼凯克,剧情,黄熙,柯宇纶/瑞玛席丹/黄远/黄韵玲/唐治平/张国柱/高捷
267,风中有朵雨做的云,剧情/悬疑/犯罪,娄烨,井柏然/宋佳/马思纯/秦昊/陈妍希/张颂文/陈冠希/颜卓灵
268,纯真年代,剧情/家庭/儿童,韩荣声,范洪涛/张琳/黄宝龙/温正邦/古玉枫/王思霖/廖丽/黎骏/古运昌/邹馥莲
269,鬼故事,剧情/恐怖,杰瑞米·德桑/安迪·尼曼,安迪·尼曼/马丁·弗瑞曼/保罗·怀特豪斯/埃里克斯·劳瑟/保罗·沃伦/寇布勒·霍尔德布鲁克-史密斯/尼古拉斯·本恩斯/丹尼尔·希尔/山缪尔·博顿利/杰克·戴维斯/达伦·布朗
270,忌日快乐,悬疑/惊悚/恐怖,克里斯托弗·兰登,杰西卡·罗德/伊瑟尔·布罗萨德/露比·莫迪恩/查尔斯·艾特肯/劳拉·克利夫顿/杰森·拜尔/罗布·梅洛/瑞秋·马休斯/拉姆齐·安德森/布雷迪·刘易斯/飞·武/泰内娅·因崔亚戈/布莱恩·克恩/卡瑞尔拉·史密斯/吉米·冈萨雷斯/比利·斯洛特/唐娜·杜普兰提尔/吉吉·埃内塔/林赛·G·史密斯/戴恩·罗兹/凯莱布·斯比尔亚兹/蜜西·雅格
271,异形：契约,科幻/恐怖,雷德利·斯科特,迈克尔·法斯宾德/凯瑟琳·沃特斯顿/比利·克鲁德普/丹尼·麦克布莱德/德米安·比齐尔/卡门·艾乔戈/朱西·斯莫利特/考莉·埃尔南德斯/艾米·西米茨/纳撒尼尔·迪安/亚历山大·英格兰/本杰明·里格比/乌利·拉图基孚/泰丝·哈乌布里奇/罗蕾莱·金/哈维尔·博泰特/詹姆斯·弗兰科/盖·皮尔斯/劳米·拉佩斯
272,解除好友2：暗网,恐怖/犯罪,斯蒂芬·思科,科林·伍德尔/斯蒂芬妮·诺格拉斯/瑞贝卡·瑞滕豪斯/安德鲁斯·李斯/贝蒂·加布里埃尔/康纳·戴尔·里奥/萨维拉·温蒂亚尼/切尔西·阿尔登/道格拉斯·泰特/阿什顿·斯迈利/阿历萨·芒索
273,寄宿学校,悬疑/恐怖,鲍兹·亚金,卢克·普拉尔/斯特林·杰里斯/威尔·帕顿/科比·乔治/卡丁·乔治/尼古拉斯·J·奥利韦里/萨曼莎·玛西丝/罗伯特·约翰·伯克/纳迪娅·亚历山大/露西·沃特斯/坦米·布兰查德/大卫·阿隆·贝克
274,电锯惊魂8：竖锯,悬疑/惊悚/恐怖,迈克尔·斯派瑞/彼得·斯派瑞,马特·帕斯摩尔/托宾·贝尔/考乐姆·吉斯·雷尼/汉娜·艾米莉·安德森/科勒·班尼特/劳拉·范德沃特/保罗·布朗斯坦/曼德拉·范·皮布尔斯/布列塔尼·艾伦/乔赛亚·布莱克/爱德华·拉特尔/迈克·布瓦韦尔
275,小丑回魂,剧情/恐怖/儿童,安德斯·穆斯切蒂,比尔·斯卡斯加德/杰登·马泰尔/杰里米·雷·泰勒/索菲娅·莉莉丝/菲恩·伍法德/乔森·雅各布/杰克·迪伦·格雷泽/瓦耶特·奥莱夫/杰克逊·罗伯特·斯科特/尼古拉斯·汉密尔顿/杰克·辛/洛根·汤普森/欧文·泰格/斯蒂夫·博加尔特/斯图尔特·休斯/杰弗里·庞塞特/皮普·德怀尔/莫莉·阿特金森/史蒂文·威廉姆斯/伊丽莎白·桑德斯/梅根·查彭提尔/安东尼·尤埃西/哈维尔·博泰特/伊莎贝尔·内利瑟/尼尔·克容
276,遗传厄运,悬疑/惊悚/恐怖,阿里·艾斯特,亚历克斯·沃尔夫/加布里埃尔·伯恩/托妮·科莱特/米莉·夏普洛/克里斯蒂·萨默海斯/摩根·伦德/马洛里·贝克特尔/杰克·布朗/布赖恩·拉谢尔/海蒂·门德兹/莫伊塞斯L·托瓦/贾罗德·菲利普斯/安·唐德/布罗克·麦金尼/扎克瑞·亚瑟/奥斯丁·R·格兰特
277,修女,悬疑/惊悚/恐怖,科林·哈迪,德米安·比齐尔/泰莎·法米加/乔纳斯·布洛凯/邦妮·阿伦斯/维拉·法米加/帕特里克·威尔森/英格丽·比苏/夏洛特·霍普/桑德拉·特蕾丝/奥古斯特·马图洛/迈克尔·史麦利/大卫·霍罗维奇/丽丽·博尔丹/斯嘉丽·希克斯/丽兹·科菲/迪·布拉雷·贝克尔/黛布拉·威尔逊/马克·斯达格/莉迪亚·科洛科/艾玛·阿普尔顿/约翰尼·科瓦内/丹尼尔·曼德尔/西蒙·瑞/桑德拉·罗斯科
278,昆池岩,恐怖,郑凡植,魏河俊/朴智炫/吴雅妍/文艺媛/朴成勋/刘帝允/李丞旭
279,寂静之地,惊悚/恐怖,约翰·卡拉辛斯基,艾米莉·布朗特/约翰·卡拉辛斯基/米利森特·西蒙兹/诺亚·尤佩/凯德·伍德沃德/里昂·拉瑟姆/桃乐丝·麦卡锡
280,阴风阵阵,惊悚/恐怖,卢卡·瓜达尼诺,达科塔·约翰逊/蒂尔达·斯文顿/科洛·莫瑞兹/米娅·高斯/杰西卡·哈珀/西尔维·泰斯蒂/安吉拉·温科勒/玛高莎·贝拉/英格丽·卡文
281,霸主,动作/科幻/恐怖/战争,朱利叶斯·艾弗里,约翰·艾德坡/怀亚特·罗素/马蒂尔德·奥利维耶/皮鲁·埃斯贝克/约翰·马加罗/伊恩·德·卡斯泰克/雅各布·安德森/多米尼克·阿普尔怀特/博基姆·伍德拜因/恩里奇·雷德曼/马克·麦克肯纳/海莉·卡迈克尔/米迦勒·埃普/RossTomlinson/本·特瓦索里/安迪·韦勒姆/帕特里克·布拉莫尔/肖恩·狄克逊/豪尔赫·莱昂·马丁内斯/伊娃·马格亚
