电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb链接,官方小站
电锯惊魂,温子仁,温子仁/雷·沃纳尔,雷·沃纳尔/加利·艾尔维斯/丹尼·格洛弗/肯·梁/迪娜·迈耶/迈克·巴特斯/保罗·古德勒支/迈克尔·爱默生/本尼托·马丁内斯/肖妮·史密斯/麦肯兹·韦加/莫妮卡·波特/耐德·巴拉米/亚丽姗卓·全/托宾·贝尔,悬疑/惊悚/恐怖,美国,英语,2004-01-19(圣丹斯电影节)/2004-10-29(美国),103分钟,夺魂锯(台)/恐惧斗室(港)/你死我活/链锯惊魂,tt0387564,
疯狂的麦克斯4：狂暴之路,乔治·米勒,乔治·米勒/布伦丹·麦卡锡/尼克·拉图里,汤姆·哈迪/查理兹·塞隆/尼古拉斯·霍尔特/休·基斯-拜恩/乔什·赫尔曼/内森·琼斯/佐伊·克罗维兹/罗茜·汉丁顿-惠特莉/丽莉·克亚芙/阿比·丽/考特尼·伊顿/安格斯·桑普森/理查德·卡特/梅根·盖尔/肖恩·哈普,动作/科幻/冒险,澳大利亚/美国,英语,2015-05-14(澳大利亚)/2015-05-15(美国),120分钟,末日先锋：战甲飞车(港)/疯狂麦斯：愤怒道(台)/冲锋飞车队4/迷雾追魂手4/冲锋追魂手4/疯狂麦克斯4/疯狂迈斯：怒途/MadMax4:FuryRoad,tt1392190,
真爱至上,理查德·柯蒂斯,理查德·柯蒂斯,休·格兰特/科林·费尔斯/艾玛·汤普森/凯拉·奈特莉/连姆·尼森/托马斯·布罗迪-桑斯特/比尔·奈伊/马丁·弗瑞曼/劳拉·琳妮/艾伦·瑞克曼/克里斯·马歇尔/罗德里戈·桑托罗/罗温·艾金森/比利·鲍伯·松顿/玛汀·麦古基安/安德鲁·林肯/露西娅·莫尼斯/海克·玛卡琪,剧情/喜剧/爱情,英国/美国/法国,英语/葡萄牙语/法语,2003-09-07(多伦多电影节)/2003-11-06(美国)/2003-11-21(英国),135分钟,爱是您，爱是我(台)/真的恋爱了(港)/真情角落/真爱/LoveActuallyIsAllAround,tt0314331,
海蒂和爷爷,阿兰·葛斯彭纳,约翰娜·施皮里/佩特拉·比翁迪娜·沃尔普,阿努克·斯特芬/布鲁诺·甘茨/昆林·艾格匹/安娜·申茨/伊莎贝尔·奥特曼/莉莲·奈福/彼得·杰克林/克里斯托夫·高格勒/丽贝卡·因德穆/莫妮卡·古布瑟/阿瑟·比勒/玛丽埃塔·耶米/彼得·洛迈尔/卡塔琳娜·舒特勒/杰拉·哈斯/迈克尔·克兰茨/劳拉·帕克/马库斯·赫林/马克西姆·梅米特/汉内洛勒·霍格,剧情/家庭/冒险,德国/瑞士/南非,德语/瑞士德语/南非语,2019-05-16(中国大陆)/2015-12-10(德国),111分钟,飘零燕(港)/海蒂/阿尔卑斯山少女海蒂,tt3700392,
被解救的姜戈,昆汀·塔伦蒂诺,昆汀·塔伦蒂诺,杰米·福克斯/莱昂纳多·迪卡普里奥/克里斯托弗·沃尔兹/塞缪尔·杰克逊/凯丽·华盛顿/沃尔顿·戈金斯/丹尼斯·克里斯托弗/乔纳·希尔/詹姆斯·瑞马尔/爱波·塔布琳/弗兰科·内罗/罗伯特·卡拉丁/佐伊·贝尔,剧情/动作/西部/冒险,美国,英语/法语/德语,2013-05-12(中国大陆)/2012-12-25(美国),163分钟(中国大陆)/165分钟(美国),被解放的姜戈/决杀令(台)/黑杀令(港)/被解放的迪亚戈/铁血枷锁/解放的詹哥/奔放的强哥/强哥好强,tt1853728,
记忆碎片,克里斯托弗·诺兰,克里斯托弗·诺兰/乔纳森·诺兰,盖·皮尔斯/凯瑞-安·莫斯/乔·潘托里亚诺/小马克·布恩/拉什·费加/乔雅·福克斯/斯蒂芬·托布罗斯基/哈里特·桑塞姆·哈里斯/托马斯·列农/考乐姆·吉斯·雷尼/金伯利·坎贝尔/玛丽安妮·穆勒雷尔/拉里·霍尔登,剧情/悬疑/惊悚/犯罪,美国,英语,2000-09-05(威尼斯电影节)/2000-10-20(英国)/2001-05-25(美国),113分钟,失忆/记忆拼图(台)/凶心人(港)/记忆迷局/Amnesia,tt0209144,
借东西的小人阿莉埃蒂,米林宏昌,宫崎骏/丹羽圭子/玛丽·诺顿,志田未来/神木隆之介/树木希林/三浦友和/大竹忍/竹下景子/藤原龙也,动画/奇幻/冒险,日本,日语,2010-07-17(日本),94分钟,借物少女艾莉缇(台)/借东西的小矮人亚莉亚蒂(港)/借东西的阿莉埃蒂/借东西的地下小人/TheBorrowerArrietty/TheSecretWorldofArrietty,tt1568921,
青蛇,徐克,李碧华/徐克,张曼玉/王祖贤/赵文卓/吴兴国/马精武/田丰/刘洵,剧情/爱情/奇幻/古装,香港,粤语,1993-11-04(香港),99分钟,GreenSnake,tt0106559,
玛丽和马克思,亚当·艾略特,亚当·艾略特,托妮·科莱特/菲利普·塞默·霍夫曼/巴瑞·哈姆弗莱斯/艾瑞克·巴纳/贝塔尼·维特莫尔/蕾妮·盖耶/伊恩·莫利·梅尔德伦/朱莉·福塞斯/约翰·弗劳思/克里斯托弗·马西/卡罗琳·莎士比亚-艾伦/琳恩·史密斯/MichaelIenna,剧情/喜剧/动画,澳大利亚,英语/意第绪语,2009-01-15(圣丹斯电影节)/2009-04-09(澳大利亚),92分钟,巧克力情缘(台)/同是天涯寂寞客/玛丽与马克思/玛丽和麦克斯/玛丽和马克斯/玛丽和马科斯,tt0978762,
彗星来的那一夜,詹姆斯·沃德·布柯特,詹姆斯·沃德·布柯特/亚历克斯·马努吉安,艾米丽·芭尔多尼/莫瑞·史特林/尼古拉斯·布兰登/劳伦·斯卡法莉娅/伊丽莎白·格瑞斯/雨果·阿姆斯特朗/亚历克斯·马努吉安/劳伦·马赫,科幻/悬疑/惊悚,美国/英国,英语,2013-09-19(奇幻电影节)/2014-08-06(美国),89分钟,相干性/相干效应,tt2866360,
美国队长3,安东尼·罗素/乔·罗素,克里斯托弗·马库斯/斯蒂芬·麦克菲利/杰克·科比/乔·西蒙,克里斯·埃文斯/小罗伯特·唐尼/斯嘉丽·约翰逊/塞巴斯蒂安·斯坦/安东尼·麦凯/唐·钱德尔/杰瑞米·雷纳/查德维克·博斯曼/保罗·贝坦尼/伊丽莎白·奥尔森/保罗·路德/艾米丽·万凯普/汤姆·赫兰德/丹尼尔·布鲁尔/弗兰克·格里罗/威廉·赫特/马丁·弗瑞曼/霍普·戴维斯/玛丽莎·托梅/吉姆·拉什/金世佳,动作/科幻/冒险,美国,科萨语/英语/德语/俄语/罗马尼亚语,2016-05-06(中国大陆/美国)/2016-04-12(加州首映),148分钟(中国大陆)/147分钟,美国队长3：内战/美国队长3：英雄内战(港/台)/美队3/CaptainAmerica3,tt3498820,
魔女宅急便,宫崎骏,宫崎骏/角野荣子,高山南/佐久间玲/户田惠子/山口胜平/信泽三惠子/加藤治子/关弘子/三浦浩一/山寺宏一/井上喜久子/渊崎由里子/土井美加/土师孝也/浅井淑子/齐藤昌/西村知道/小林优子/池水通洋/辻亲八/大塚明夫/坂本千夏/田口昂/键本景子/津贺有子/龟井芳子/丸山裕子,动画/奇幻/冒险,日本,日语,1989-07-29(日本),103分钟,魔女琪琪(台)/小魔女限时专送/Kiki'sDeliveryService,tt0097814,
步履不停,是枝裕和,是枝裕和,阿部宽/夏川结衣/江原由希子/高桥和也/田中祥平/野本萤/林凌雅/寺岛进/加藤治子/树木希林/原田芳雄,剧情/家庭,日本,日语,2008-06-28(日本),115分钟,横山家之味(港/台)/步伐不停/即使你走啊走/安静的行走/StillWalking/EvenIfYouWalkandWalk,tt1087578,
教父3,弗朗西斯·福特·科波拉,马里奥·普佐/弗朗西斯·福特·科波拉,阿尔·帕西诺/黛安·基顿/塔莉娅·夏尔/安迪·加西亚/埃里·瓦拉赫/乔·曼特纳/乔治·汉密尔顿/布里吉特·芳达/索菲亚·科波拉/雷夫·瓦朗/弗兰克·德安布罗西奥/敦尔·当纳利/理查德·布赖特/赫尔穆特·贝格/唐·诺韦洛,剧情/犯罪,美国,英语/意大利语/德语/拉丁语,1990-12-25(美国),170分钟,教父第三集/教父III,tt0099674,
速度与激情7,温子仁,克里斯·摩根/盖瑞·斯科特·汤普森,范·迪塞尔/保罗·沃克/杰森·斯坦森/米歇尔·罗德里格兹/乔丹娜·布鲁斯特/泰瑞斯·吉布森/卢达克里斯/道恩·强森/卢卡斯·布莱克/库尔特·拉塞尔/娜塔莉·伊曼纽尔/埃尔莎·帕塔奇/盖尔·加朵/约翰·布罗特顿/卢克·伊万斯/托尼·贾/杰曼·翰苏/诺尔·古格雷米/阿里·扎勒/姜成镐/龙达·鲁西/伊吉·阿德利亚/乔恩·李·布罗迪,动作/惊悚/犯罪,美国/中国大陆/日本,英语,2015-04-12(中国大陆)/2015-04-03(美国),137分钟/140分钟(加长版),狂野时速7(港)/玩命关头7(台)/Fast&Furious7,tt2820852,
金刚狼3：殊死一战,詹姆斯·曼高德,詹姆斯·曼高德/迈克尔·格林/斯科特·弗兰克,休·杰克曼/帕特里克·斯图尔特/达芙妮·基恩/波伊德·霍布鲁克/斯戴芬·莫昌特/伊丽莎白·罗德里格斯/多丽丝·莫尔加多/理查德·E·格兰特/玛丽·佩顿·斯图尔特/伊利斯·尼尔/艾瑞琪·拉·塞拉/劳伦·格罗斯/胡安·贾斯帕/克日什托夫·索什斯基/萨博·班克森,剧情/动作/科幻,美国,英语/西班牙语,2017-03-03(中国大陆/美国)/2017-02-17(柏林电影节)/2017-05-16(黑白版),123分钟(中国大陆)/135分钟(柏林电影节)/137分钟(美国),卢根(港)/罗根(台)/金刚狼3：罗根/金刚狼3：暮狼寻乡/这个金刚不太狼(豆友译名)/全冈良(豆友译名)/Wolverine:WeaponX/Wolverine3,tt3315342,金刚狼3：殊死一战
谍影重重3,保罗·格林格拉斯,托尼·吉尔罗伊/乔治·诺非/斯科特·Z·本恩斯,马特·达蒙/朱丽娅·斯蒂尔斯/大卫·斯特雷泽恩/斯科特·格伦/帕迪·康斯戴恩/埃德加·拉米雷兹/阿尔伯特·芬尼/琼·艾伦/TomGallop/克里·约翰逊/丹尼尔·布鲁尔/乔伊·安沙/科林·斯廷顿/丹·弗雷登堡/LucyLiemann,动作/悬疑/惊悚,美国/德国,英语/法语/阿拉伯语/俄语/西班牙语,2007-11-15(中国大陆)/2007-08-03(美国),115分钟,叛谍追击3：最后通牒(港)/神鬼认证：最后通牒(台)/伯恩的最后通牒/终极伯恩,tt0440963,
恋恋笔记本,尼克·卡萨维茨,扬·萨尔迪/杰里米·莱文/尼古拉斯·斯帕克斯,瑞恩·高斯林/瑞秋·麦克亚当斯/吉娜·罗兰兹/詹姆斯·加纳/斯塔尔勒塔·杜波利斯/凯文·康诺利/希瑟·沃奎斯特/杰弗里·奈特/琼·艾伦/詹姆斯·麦斯登,剧情/爱情,美国,英语,2004-06-25(美国),123分钟,深情日记/写我情真/手札情缘/忘了·忘不了/恋恋记事本/恋爱日记,tt0332280,
爱在午夜降临前,理查德·林克莱特,理查德·林克莱特/朱莉·德尔佩/伊桑·霍克/金·克里桑,伊桑·霍克/朱莉·德尔佩/肖姆斯·戴维-菲茨帕特里克/詹妮弗·普里尔/夏洛特·普里尔/XeniaKalogeropoulou/沃尔特·拉萨利/亚里安妮·拉贝德/雅尼斯·帕帕多普洛斯/阿锡娜·瑞秋·特桑阿里/帕诺斯·科罗尼斯/YotaArgyropoulou/约翰·斯洛斯,剧情/爱情,美国/希腊,英语/希腊语/法语,2013-06-14(美国),109分钟,爱在午夜希腊时(台)/情约半生(港)/爱在午夜到来时/爱在午夜梦回时/午夜之前,tt2209418,
国王的演讲,汤姆·霍珀,大卫·塞德勒,科林·费尔斯/杰弗里·拉什/海伦娜·伯翰·卡特/盖·皮尔斯/迈克尔·刚本/蒂莫西·斯波/詹妮弗·艾莉/德里克·雅各比/安东尼·安德鲁斯/克莱尔·布鲁姆,剧情/传记/历史,英国/澳大利亚/美国,英语,2012-02-24(中国大陆)/2010-09-06(特柳赖德电影节)/2010-12-25(美国)/2011-01-07(英国),118分钟,皇上无话儿(港)/王者之声：宣战时刻(台)/王的演讲/国王的演说,tt1504320,
一一,杨德昌,杨德昌,吴念真/李凯莉/金燕玲/张洋洋/萧淑慎/尾形一成/陈希圣/林孟瑾/陈以文/柯宇纶/张育邦/柯素云/唐如韫/徐淑媛/曾心怡/陶传正,剧情/爱情/家庭,台湾/日本,汉语普通话/闽南语/英语/日语,2000-05-14(戛纳电影节)/2000-12-16(日本)/2017-07-28(台湾),173分钟,Yiyi/Yiyi:AOneandaTwo,tt0244316,
湄公河行动,林超贤,林超贤/朱镜祺/刘小群/谭惠贞/林明杰,张涵予/彭于晏/孙淳/陈宝国/冯文娟/刘显达/赵健/吴旭东/吴嘉龙/卢惠光/柏华力·莫高彼斯彻/维他亚·潘斯林加姆/战立国/石占杰/伍麟凯/Zobra/魏蔓/李佳璇/郝文婷/王笑龙/任蕊/BhubhingBhangsa-Ard/AchayaVishwanathGovind/NitidetCheryJunphli/KeeraliSivakuae/AlyaretJunamnoong/VattcharachaiSunthomsin/SarawutKumsorn/NongmalBunchu/SubashA/LSundaramoorthy/Itthiphon/SamritWarin/纳卡琳·加汉/钟建龙/张敏嘉/陈沛兴/林美芬/詹姆斯·阿媞邦德/Amigo,剧情/动作/犯罪,中国大陆/香港,汉语普通话/粤语/泰语/缅甸语/英语,2016-09-30(中国大陆),124分钟,湄公河大案/湄公河/OperationMekong,tt6044910,
秒速5厘米,新海诚,新海诚,水桥研二/近藤好美/花村怜美/尾上绫华/水野理纱/寺崎裕香/中村祐子/岩崎征实/内藤玲/下崎纮史/平野贵裕/中川玲/井关佳子/井上优/加古临王/中村梨香/须加美纪/鲑延未可/新鹿由美子/斋藤由香子,剧情/爱情/动画,日本,日语,2007-03-03(日本),63分钟,秒速五厘米/秒速5公分/Byôsoku5senchimêtoru/5CentimetersperSecond/5CentimetersPerSecond:AChainofShortStoriesAboutTheirDistance,tt0983213,
比利·林恩的中场战事,李安,让-克里斯托弗·卡斯特里/本·方丹,乔·阿尔文/加内特·赫德兰/克里斯汀·斯图尔特/范·迪塞尔/李淳/麦肯兹·利/史蒂夫·马丁/克里斯·塔克/本·普拉特/阿图罗·卡斯特罗/亚斯特罗/博·纳普/伊斯梅尔·克鲁斯·科尔多瓦/巴尼·哈里斯/布鲁斯·麦金农/迪尔德丽·罗夫乔/劳拉·兰迪/艾伦·丹尼尔/兰迪·冈萨雷斯/蒂姆·布雷克·尼尔森,剧情/战争,美国/英国/中国大陆,英语,2016-11-11(中国大陆)/2016-10-14(纽约电影节)/2016-11-18(美国),113分钟,半场无战事/比利·林恩漫长的中场休息/比利·林漫长的中场行走/中场休息,tt2513074,
卢旺达饭店,特瑞·乔治,特瑞·乔治/凯尔·皮尔森,唐·钱德尔/苏菲·奥康内多/杰昆·菲尼克斯/尼克·诺特/哈基姆·凯-卡西姆/托尼·戈罗奇/法纳·莫科纳/大卫·奥哈拉/莫苏西·麦格诺/西莫·莫加瓦扎/卡拉·西摩/罗伯托·西特兰/德斯蒙德·杜布/蕾乐蒂·库马洛,剧情/历史/战争,英国/南非/意大利/美国,英语/法语,2004-12-22(美国),121分钟,卢安达饭店(台),tt0395169,
七武士,黑泽明,黑泽明/小国英雄/桥本忍,三船敏郎/志村乔/稻叶义男/宫口精二/千秋实/加东大介/木村功,剧情/动作/冒险,日本,日语,1954-04-26(日本),160分钟(国际版)/150分钟(英国初版)/190分钟(英国1991重映版)/141分钟(美国初版)/203分钟(美国重映版)/207分钟(修复版),七侠四义(港)/TheSevenSamurai/Shichininnosamurai,tt0047478,
未麻的部屋,今敏,村井贞之/竹内义和,岩男润子/松本梨香/辻亲八/秋元羊介/盐屋翼/堀秀行/筱原惠美/江原正士/梁田清之/古泽彻/新山志保/三木真一郎/保志总一朗,动画/惊悚/奇幻,日本,日语,1997-07(加拿大奇幻电影节)/1998-02-28(日本),81分钟,蓝色的恐惧/蓝色恐惧/パーフェクトブルー,tt0156887,
黑客帝国3：矩阵革命,莉莉·沃卓斯基/拉娜·沃卓斯基,莉莉·沃卓斯基/拉娜·沃卓斯基,基努·里维斯/劳伦斯·菲什伯恩/凯瑞-安·莫斯/雨果·维文/贾达·萍克·史密斯/凯特·宾汉/玛丽·爱丽丝/莫妮卡·贝鲁奇/埃茜·戴维斯/克里斯托弗·卡比/罗伯特·马莫内/罗宾·奈文/吉娜薇·欧瑞丽/诺娜·加耶/纳撒尼尔·利斯/哈里·列尼斯/哈罗德·佩里诺/鲁伯特·雷德/凯文·迈克尔·理查德森/大卫·罗伯茨/布鲁斯·斯宾斯/吉娜·托瑞斯/克莱顿·华生/赫尔穆特·巴凯蒂斯/邹兆龙/JoeManning/TanveerK.Atwal/LachyHulme/CornelWest/伯纳德·怀特/朗贝尔·维尔森/安东尼·布兰登·黄/安东尼·泽比/CraigWalker,动作/科幻,美国/澳大利亚,英语/法语,2003-11-05(美国/中国大陆),129分钟,骇客任务完结篇：最后战役/廿二世纪杀人网络3：惊变世纪/黑客帝国3,tt0242653,
香水,汤姆·提克威,安德鲁·伯金/贝尔恩德·艾辛格/汤姆·提克威/帕特里克·聚斯金德,本·卫肖/艾伦·瑞克曼/蕾切儿·哈伍德/达斯汀·霍夫曼/大卫·卡尔德/比吉特·米尼希迈尔/卡洛斯·格拉马赫/西恩·托马斯/佩里·米尔沃德/山姆·道格拉斯/卡洛琳·赫弗斯/卡罗丽娜·维拉·斯克利亚/莎拉·弗里斯蒂/科琳娜·哈弗奇/杰西卡·施瓦茨/约翰·赫特,剧情/犯罪/奇幻,德国/法国/西班牙/美国,英语,2006-09-07(德国)/2006-09-14(法国)/2006-11-24(西班牙)/2007-01-05(美国),147分钟,香水：一个杀人犯的故事/香水：一个谋杀犯的故事/香水：杀手的故事/杀手故事/DasParfum-DieGeschichteeinesMörders,tt0396171,
哪吒闹海,严定宪/王树忱/徐景达,王树忱,梁正晖/邱岳峰/毕克/富润生/尚华/于鼎,动画/奇幻/冒险,中国大陆,汉语普通话,1979-05-19(中国大陆),65分钟,PrinceNezha'sTriumphAgainstDragonKing/Nezhanaohai,tt0354770,
奇异博士,斯科特·德瑞克森,史蒂夫·迪特寇/托马斯·迪恩·唐纳利/斯坦·李/乔·斯派茨/约书亚·奥本海默,本尼迪克特·康伯巴奇/蒂尔达·斯文顿/麦斯·米科尔森/切瓦特·埃加福特/瑞秋·麦克亚当斯/迈克尔·斯图巴/本尼迪克特·王/本杰明·布拉特/斯科特·阿金斯/莎拉·费希恩/阿拉·萨菲,动作/奇幻/冒险,美国,英语,2016-11-04(中国大陆/美国)/2016-10-25(英国),115分钟,斯特兰奇博士/史特兰奇博士/奇怪博士/怪奇医生/奇异医生/史奇医生/Dr.Strange,tt1211837,
新龙门客栈,李惠民,徐克/张炭/吕晓禾/司徒慧焯/何冀平/苏叔阳,张曼玉/林青霞/梁家辉/甄子丹/熊欣欣/刘洵/任世官/吴启华/袁祥仁/徐锦江/郑希怡/王彤川/王伟顺/蔡浩,动作/爱情/武侠/古装,香港/中国大陆,汉语普通话/粤语,2012-02-24(中国大陆)/1992-08-27(香港),88分钟/99分钟/103分钟(美国),NewDragonGateInn,tt0105859,
X战警：逆转未来,布莱恩·辛格,西蒙·金伯格/简·古德曼/马修·沃恩,休·杰克曼/詹姆斯·麦卡沃伊/迈克尔·法斯宾德/詹妮弗·劳伦斯/哈莉·贝瑞/尼古拉斯·霍尔特/埃文·彼得斯/伊恩·麦克莱恩/帕特里克·斯图尔特/艾伦·佩吉/安娜·帕奎因/彼特·丁拉基/肖恩·阿什莫/卢卡斯·提尔/丹尼尔·库德摩尔/波波·斯图尔特/奥玛·希/范冰冰/阿丹·坎托/乔什·赫尔曼,动作/科幻/冒险,美国/英国,英语/越南语/法语,2014-05-23(美国/中国大陆),131分钟(美国)/149分钟(加长版),变种特攻：未来同盟战(港)/X战警：未来昔日(台)/X战警前传2：未来过去的日子/X战警前传2：未来昔日,tt1877832,X战警豆瓣中文小站
雨人,巴瑞·莱文森,罗纳德·巴斯/巴里·莫罗,达斯汀·霍夫曼/汤姆·克鲁斯/瓦莱丽亚·戈利诺/邦尼·亨特,剧情,美国,英语/意大利语,1988-12-16(美国),133分钟,手足情未了/手足情深,tt0095953,
喜宴,李安,李安/冯光远/詹姆斯·夏慕斯,赵文瑄/郎雄/归亚蕾/金素梅/米切尔·利希藤斯坦,剧情/喜剧/爱情/同性/家庭,台湾/美国,汉语普通话/英语,1993-02(柏林电影节)/1993-08-04(美国),108分钟,TheWeddingBanquet,tt0107156,
萤火虫之墓,高畑勋,高畑勋/野坂昭如,辰己努/白石绫乃/志乃原良子/山口朱美/端田宏三,剧情/动画/战争,日本,日语,1988-04-16(日本),89分钟,再见萤火虫(港)/萤火挽歌/火帘之墓/Hotarunohaka/TombstoneforFireflies/GraveoftheFireflies/TomboftheFireflies,tt0095327,
穿越时空的少女,细田守,奥寺佐渡子/筒井康隆,仲里依纱/石田卓也/板仓光隆/垣内彩未/谷村美月/关户优希/桂歌若/安藤绿/立木文彦/山本圭子/反田孝幸/谷川清美/汤屋敦子/松田洋治/中村正/原沙知绘,剧情/爱情/科幻/动画,日本,日语,2006-07-15(日本),98分钟,跳跃吧！时空少女(台)/Tokiokakerushôjo/TheGirlWhoLeaptThroughTime,tt0808506,
聚焦,汤姆·麦卡锡,乔希·辛格/汤姆·麦卡锡,马克·鲁弗洛/迈克尔·基顿/瑞秋·麦克亚当斯/列维·施瑞博尔/约翰·斯拉特里/布莱恩·达西·詹姆斯/斯坦利·图齐/比利·克鲁德普/保罗·吉尔福伊尔/杰米·谢尔丹/兰·卡琉/尼尔·哈夫/迈克尔·西里尔·克赖顿/迈克尔·康特里曼,剧情/传记,美国,英语,2015-09-03(威尼斯电影节)/2015-11-25(美国),128分钟,焦点追击(港)/惊爆焦点(台),tt1895587,
无耻混蛋,昆汀·塔伦蒂诺,昆汀·塔伦蒂诺,布拉德·皮特/梅拉尼·罗兰/克里斯托弗·沃尔兹/伊莱·罗斯/迈克尔·法斯宾德/黛安·克鲁格/丹尼尔·布鲁尔/蒂尔·施威格/哥德昂·布克哈德/雅基·伊多/B·J·诺瓦克/奥玛·杜姆/奥古斯特·迪赫/德尼·梅诺谢/西尔维斯特·格罗特/蕾雅·赛杜,剧情/犯罪,美国/德国,英语/德语/法语/意大利语,2009-08-20(德国),153分钟,恶棍特工(台)/希魔撞正杀人狂(港)/无良杂种/无良杂军/戴罪立功/无良杂牌军/混蛋野战队,tt0361748,
