电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb链接
红衣小女孩2,程伟豪,简士耕,杨丞琳/许玮甯/高慧君/龙劭华/黄河/吴念轩/詹宛儒/林裔臻/林芷瑈/黄镫辉/刘引商,惊悚/恐怖,台湾,汉语普通话,2017-08-25(台湾),108分钟,Hongyixiaonuhai2/TheTag-Along2,tt6295898
秘果,连奕琦,饶雪漫,陈飞宇/欧阳娜娜/邹元清/张诚航/欧豪/米咪/咏梅/曹卫宇/张瑶,爱情,中国大陆,汉语普通话,2017-07-07(中国大陆),99分钟,SecretFruit,tt7726702
陈翔六点半之铁头无敌,陈翔,陈翔,应宝林/闰土/毛台/蘑菇头/吴妈/猪小明,剧情/喜剧/动作,中国大陆,汉语普通话,2018-06-11(中国大陆),96分钟,铁头无敌,
过昭关,霍猛,霍猛,杨太义/李云虎/万众/聂栋才,剧情/家庭/儿童,中国大陆,河南方言,2019-05-20(中国大陆)/2018-10-17(平遥国际电影展),93分钟,,tt9496220
麻烦家族,黄磊,黄磊/山田洋次/平松惠美子,黄磊/海清/王迅/李立群/孙莉/魏大勋/张伟欣/任容萱/何炅/岳云鹏/孟非/闫妮/英达,喜剧/家庭,中国大陆,汉语普通话,2017-05-11(中国大陆),103分钟,WhataWonderfulFamily,tt6349844
美好的意外,何蔚庭,哈智超/周佳琳,桂纶镁/王景春/欧阳娜娜/王元也/陈坤/谢盈萱/郑开元,喜剧/奇幻,中国大陆,汉语普通话,2017-06-02(中国大陆),105分钟,美满人间/美好人生/BeautifulAccident,tt6797204
这就是命,王丹,,王迅/曾志伟/梁超/潘斌龙/于莎莎/赵英俊/卢惠光/金圣柱/黄小蕾/关喆,喜剧/犯罪,中国大陆,汉语普通话,2017-12-01(中国大陆),98分钟,KillMePlease,
罪途1之死亡列车,马小刚,海分形,韩朴俊/朱颜曼滋/李心敏/何索/韩秋池/红花/尹航/刘鹏/荆民强/穆梦娇/吴雨珏,剧情/悬疑/犯罪,中国大陆,汉语普通话,2018-05-11(中国大陆),70分钟,罪途1/罪途I之死亡列车/罪途之死亡列车,
荡寇风云,陈嘉上,熊召政/王思敏/谭广源/吴孟璋,赵文卓/洪金宝/万茜/小出惠介/仓田保昭/唐文龙/刘俊孝/吴樾/木幡龙/王斑/洪天明/蒋璐霞/王菁/王沐霖/舒耀瑄/孙蛟龙,动作/传记/历史/战争/古装,中国大陆,汉语普通话/日语,2017-05-27(中国大陆),129分钟,战神戚继光/荡寇/GodofWar,tt6083388
北方一片苍茫,蔡成杰,蔡成杰,田天/韩建玲/赵树林/李桂苓/郭丰赫/温新宇/王富有/付柄丽/冯淑燕,剧情,中国大陆,汉语普通话,2018-07-20(中国大陆)/2017-07-23(FIRST青年影展),105分钟/140分钟(FIRST青年影展)/113分钟(中国大陆),小寡妇成仙记/MirrorsandFeathers/TheWidowedWitch/Shaman,tt8306326
推理笔记,张天辉,张天辉/钟濛/裘胜斌,陈都灵/林柏宏/汪铎/郝劭文/金士杰/王刚,剧情/悬疑,中国大陆,汉语普通话,2017-11-24(中国大陆),90分钟,推理笔记电影版/推理笔记之拉普拉斯妖/InferenceNotes,tt7326858
